sampleName,postPegasSNPS,TotalPossible,percentCovered
ann01_cwIA,1000,1000,100
ann04_nwAR,1000,1000,100
ann05_ccNM,1000,1000,100
ann06_seWY,1000,1000,100
ANN0810,1000,1000,100
ANN0820,1000,1000,100
ANN0830,1000,1000,100
ANN0835,1000,1000,100
ANN0849,1000,1000,100
ANN0854,1000,1000,100
ANN0867,1000,1000,100
ANN0874,1000,1000,100
ANN0880,1000,1000,100
ANN0882,1000,1000,100
ANN0898,1000,1000,100
ANN0908,1000,1000,100
ANN0918,1000,1000,100
ANN0927,1000,1000,100
ANN0931,1000,1000,100
ANN0946,1000,1000,100
ANN0956,1000,1000,100
ANN0957,1000,1000,100
ANN0959,1000,1000,100
ANN0962,1000,1000,100
ANN0963,1000,1000,100
ANN0964,1000,1000,100
ANN0972,1000,1000,100
ANN0975,1000,1000,100
ANN0978,1000,1000,100
ANN0981,1000,1000,100
ANN0985,1000,1000,100
ANN0986,1000,1000,100
ANN0992,1000,1000,100
ANN0996,1000,1000,100
ANN0997,1000,1000,100
ann10_ccIL,1000,1000,100
ANN1002,1000,1000,100
ANN1003,1000,1000,100
ANN1004,1000,1000,100
ANN1011,1000,1000,100
ANN1012,1000,1000,100
ANN1019,1000,1000,100
ANN1029,1000,1000,100
ANN1040,1000,1000,100
ANN1053,1000,1000,100
ANN1062,1000,1000,100
ANN1073,1000,1000,100
ANN1083,1000,1000,100
ANN1095,1000,1000,100
ANN1106,1000,1000,100
ANN1115,1000,1000,100
ANN1127,1000,1000,100
ANN1134,1000,1000,100
ANN1143,1000,1000,100
ANN1151,1000,1000,100
ANN1152,1000,1000,100
ANN1153,1000,1000,100
ANN1154,1000,1000,100
ANN1155,1000,1000,100
ANN1156,1000,1000,100
ANN1157,1000,1000,100
ANN1159,1000,1000,100
ANN1160,1000,1000,100
ANN1162,1000,1000,100
ANN1164,1000,1000,100
ANN1169,1000,1000,100
ANN1171,1000,1000,100
ANN1172,1000,1000,100
ANN1173,1000,1000,100
ANN1174,1000,1000,100
ANN1175,1000,1000,100
ANN1176,1000,1000,100
ANN1177,1000,1000,100
ANN1178,1000,1000,100
ANN1179,1000,1000,100
ANN1180,1000,1000,100
ANN1181,1000,1000,100
ANN1182,1000,1000,100
ANN1183,1000,1000,100
ANN1184,1000,1000,100
ANN1185,1000,1000,100
ANN1186,1000,1000,100
ANN1187,1000,1000,100
ANN1188,1000,1000,100
ANN1189,1000,1000,100
ANN1190,1000,1000,100
ANN1191,1000,1000,100
ANN1192,1000,1000,100
ANN1193,1000,1000,100
ANN1194,1000,1000,100
ANN1195,1000,1000,100
ANN1196,1000,1000,100
ANN1197,1000,1000,100
ANN1198,1000,1000,100
ANN1199,1000,1000,100
ANN1200,1000,1000,100
ANN1201,1000,1000,100
ANN1202,1000,1000,100
ANN1203,1000,1000,100
ANN1204,1000,1000,100
ANN1205,1000,1000,100
ANN1206,1000,1000,100
ANN1207,1000,1000,100
ANN1208,1000,1000,100
ANN1209,1000,1000,100
ANN1210,1000,1000,100
ANN1216,1000,1000,100
ANN1218,1000,1000,100
ANN1219,1000,1000,100
Ann1238,1000,1000,100
ANN1260,1000,1000,100
ANN1268,1000,1000,100
ANN1273,1000,1000,100
ANN1284,1000,1000,100
ANN1296,1000,1000,100
ANN1297,1000,1000,100
ANN1300,1000,1000,100
ANN1301,1000,1000,100
ANN1309,1000,1000,100
ANN1310,1000,1000,100
ANN1311,1000,1000,100
ANN1316,1000,1000,100
ANN1319,1000,1000,100
ANN1322,1000,1000,100
ANN1328,1000,1000,100
ANN1330,1000,1000,100
ANN1331,1000,1000,100
ANN1341,1000,1000,100
ANN1407,1000,1000,100
ANN1419,1000,1000,100
ANN1420,1000,1000,100
ANN1439,1000,1000,100
ANN1501,1000,1000,100
ann28_swSK,1000,1000,100
ann29_neSD,1000,1000,100
ann34_cwKS,1000,1000,100
ann39_ncNE,1000,1000,100
annMex_A1516,1000,1000,100
annMex_A1517,1000,1000,100
