sampleName,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PopBasic,Pop,PopReduced,PopReducedReduced
ann04_nwAR,0.00244788,-0.0145762,0.01454775,-0.0175531,0.00386284,-0.013091,-0.0003981,Wild,AR,AR_IL_NB,ENA
ANN0908,-0.0293073,0.11926782,0.00799558,-0.0055464,0.02851968,-0.0071739,-0.0915115,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN0918,-0.0398717,0.12587629,0.02195206,0.00068892,0.0108143,0.01145466,-0.084841,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN0927,-0.0407507,0.14950289,0.01841785,-0.0408334,0.0218324,0.006179,-0.1982519,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN0931,-0.034049,0.07187752,0.01612075,0.0395003,0.06148458,-0.0312436,-0.0319585,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN0946,-0.0387906,0.07405567,0.03543441,0.02829875,0.01510467,0.00261596,-0.0464394,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN1268,-0.0397231,0.14775068,0.0253667,-0.037536,0.03253436,0.00950541,-0.2535686,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN1273,-0.0414899,0.1502841,0.03189654,-0.0300603,0.02979644,0.01361891,-0.2836002,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN1284,-0.0397895,0.14960846,0.02637815,-0.0387112,0.0299261,0.01230227,-0.2405059,Wild,AZ,CA_AZ_NV,CA_AZ_NV
ANN0810,-0.0364541,0.18648205,-0.060807,-0.1193818,-0.0329578,-0.0069396,-0.0211184,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0820,-0.0428911,0.23219144,-0.0743774,-0.1533879,-0.0320786,-0.0083291,-0.0827092,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0830,-0.0432496,0.22408465,-0.0693869,-0.1411453,-0.0298961,-0.0143514,-0.0847632,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0835,-0.0477901,0.22343108,-0.0822706,-0.1315774,-0.0345194,-0.0046975,-0.0220483,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0849,-0.0449207,0.22047784,-0.0681144,-0.1333566,-0.0271326,-0.0126925,-0.067896,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0854,-0.0497212,0.23515187,-0.0785641,-0.1496615,-0.0395445,-0.0090205,-0.0437456,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0867,-0.0490713,0.14919917,-0.1458328,-0.0768145,-0.0603259,0.0024105,0.29149629,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0874,-0.045566,0.14033642,-0.1387558,-0.0739832,-0.0446468,0.00041779,0.25698787,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0880,-0.0428779,0.13156786,-0.134221,-0.0703074,-0.0525639,0.00582941,0.26419496,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0882,-0.0406797,0.15149503,-0.0927835,-0.0753266,-0.0590623,0.00241344,0.17973866,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0898,-0.0410741,0.1415309,-0.086542,-0.0795218,-0.0505751,0.00807396,0.16331453,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN1260,-0.0389392,0.21614698,-0.067254,-0.136293,-0.0354835,-0.0145283,-0.0506216,Wild,CA,CA_AZ_NV,CA_AZ_NV
ANN0992,-0.0393715,0.01184943,0.01749425,0.13542348,0.04007392,0.01757099,0.18631375,Wild,CO,CO_UT_NM,CO_UT_NM_TX
ANN0996,-0.0405173,0.01293766,0.01943682,0.13930363,0.02572117,0.01634145,0.1947702,Wild,CO,CO_UT_NM,CO_UT_NM_TX
