sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc2
ann01_cwIA,-0.058066008,-0.013461047,0.004752324,-0.020767997,-0.008804626,0.00082062,-0.010567838,Wild,IA
ann04_nwAR,-0.068687736,-0.002555383,0.005247208,-0.042606909,-0.001552508,-0.001494505,-0.005069088,Wild,AR
ann05_ccNM,-0.020690021,0.009865134,-0.01894627,-0.026105667,0.048230519,-0.003005435,0.006750888,Wild,CO_UT_NM
ANN0810,0.071190131,0.050621837,-0.169266487,-0.005945473,-0.157069457,-0.003249212,0.022015161,Wild,CA_NV_AZ
ANN0820,0.063482442,0.04779698,-0.19034528,-0.012235341,-0.16869917,-0.006533536,0.023653383,Wild,CA_NV_AZ
ANN0830,0.07972773,0.048997813,-0.196314514,-0.015063288,-0.170655728,-0.003019395,0.020784381,Wild,CA_NV_AZ
ANN0835,0.069304308,0.04125948,-0.187487147,-0.005628445,-0.154232015,-0.007014116,0.022122062,Wild,CA_NV_AZ
ANN0849,0.079784385,0.047869497,-0.196042389,-0.015061146,-0.167117608,-0.005387514,0.019175446,Wild,CA_NV_AZ
ANN0854,0.079844518,0.045372096,-0.197378,-0.009938269,-0.178461399,-0.005035719,0.024716707,Wild,CA_NV_AZ
ANN0867,0.070156218,0.003144339,-0.144527093,0.053967632,-0.099800353,0.00086364,0.042766926,Wild,CA_NV_AZ
ANN0874,0.060153481,0.002271785,-0.14153165,0.04933823,-0.097630136,-0.002124171,0.039974063,Wild,CA_NV_AZ
ANN0880,0.053599781,-0.000444591,-0.133911176,0.050518479,-0.091221402,-0.003748389,0.04341854,Wild,CA_NV_AZ
ANN0882,0.053745756,0.027205399,-0.144079923,0.026730314,-0.109848907,-0.003516441,0.042011928,Wild,CA_NV_AZ
ANN0898,0.053172579,0.026588,-0.136595134,0.026194188,-0.115574838,-0.005427492,0.04048671,Wild,CA_NV_AZ
ANN0908,0.060679211,0.032039732,-0.108866237,-0.041704038,-0.014867833,0.001761134,-0.024183625,Wild,CA_NV_AZ
ANN0918,0.066550927,0.042244594,-0.109632282,-0.040233974,-0.023397075,-0.005782767,-0.012027112,Wild,CA_NV_AZ
ANN0927,0.070615812,0.052554336,-0.133346231,-0.053810478,-0.073299851,-0.003642843,-0.028027636,Wild,CA_NV_AZ
ANN0931,0.059998337,0.020769953,-0.067016514,-0.028271796,0.040694129,-0.006989602,-0.038465476,Wild,CA_NV_AZ
ANN0946,0.069465272,0.03348302,-0.049826041,-0.036000853,0.018774842,-0.009588046,-0.022402414,Wild,CA_NV_AZ
ANN0956,0.066047214,0.012091895,-0.0346974,-0.03290391,0.11946506,-0.012467309,-0.064009106,Wild,CO_UT_NM
ANN0957,0.056870613,0.011018211,-0.03941501,-0.027479454,0.118562489,-0.013138417,-0.064141564,Wild,CO_UT_NM
ANN0959,0.084634721,0.013538917,-0.033955872,-0.034509755,0.132366946,-0.010659703,-0.063816073,Wild,CO_UT_NM
ANN0962,0.063777477,0.014689872,-0.047260897,-0.038060598,0.170931998,-0.011170991,-0.090100065,Wild,CO_UT_NM
ANN0963,0.052324203,0.012921486,-0.042075117,-0.034388987,0.162197026,-0.011415472,-0.088373577,Wild,CO_UT_NM
ANN0964,0.063371612,0.013929693,-0.043496326,-0.03764291,0.153271507,-0.009999286,-0.081347688,Wild,CO_UT_NM
ANN0972,0.061353787,-0.003619607,0.001016651,-0.017913795,0.048127468,-0.002370854,0.007043402,Wild,CO_UT_NM
ANN0975,0.061622391,-0.00043788,0.004280036,-0.018881659,0.053463085,-0.004661447,0.007653715,Wild,CO_UT_NM
ANN0978,0.044865296,-0.001204236,-0.002465651,-0.018443481,0.047742952,-0.006151949,0.012908516,Wild,CO_UT_NM
ANN0981,0.084669959,-0.009001261,0.000638431,0.006665739,0.048779995,-0.001988334,0.016344986,Wild,CO_UT_NM
ANN0985,0.086591763,-0.010841594,0.008536798,0.005118883,0.057670103,-0.001342955,-0.003959547,Wild,CO_UT_NM
ANN0986,0.085721096,-0.010259252,0.006445576,0.008417386,0.048118753,0.000630806,0.007752021,Wild,CO_UT_NM
