"","rowSums(table_SNP_characterized)"
"ANN0808",2990
"ANN0809",2992
"ANN0810",2993
"ANN0814",2991
"ANN0815",2992
"ANN0820",2994
"ANN0828",2992
"ANN0829",2993
"ANN0830",2992
"ANN0833",2992
"ANN0835",2990
"ANN0836",2990
"ANN0847",2993
"ANN0849",2994
"ANN0850",2990
"ANN0852",2989
"ANN0854",2991
"ANN0860",2991
"ANN0863",2993
"ANN0867",2990
"ANN0868",2991
"ANN0874",2990
"ANN0876",2992
"ANN0880",2993
"ANN0882",2993
"ANN0887",2994
"ANN0889",2988
"ANN0891",2989
"ANN0892",2991
"ANN0898",2993
"ANN0905",2993
"ANN0906",2993
"ANN0908",2994
"ANN0917",2988
"ANN0918",2992
"ANN0920",2991
"ANN0926",2991
"ANN0927",2991
"ANN0928",2993
"ANN0931",2994
"ANN0932",2991
"ANN0933",2992
"ANN0945",2992
"ANN0946",2992
"ANN0947",2994
"ANN0956",2991
"ANN0957",2989
"ANN0959",2991
"ANN0962",2986
"ANN0963",2991
"ANN0964",2990
"ANN0972",2988
"ANN0975",2990
"ANN0978",2990
"ANN0981",2992
"ANN0985",2991
"ANN0986",2992
"ANN0992",2991
"ANN0996",2988
"ANN0997",2993
"ANN1002",2988
"ANN1003",2990
"ANN1004",2992
"ANN1011",2991
"ANN1012",2985
"ANN1019",2990
"ANN1025",2993
"ANN1026",2993
"ANN1029",2992
"ANN1032",2992
"ANN1034",2989
"ANN1040",2989
"ANN1043",2993
"ANN1050",2992
"ANN1053",2993
"ANN1058",2985
"ANN1060",2993
"ANN1061",2988
"ANN1062",2991
"ANN1065",2993
"ANN1073",2993
"ANN1074",2993
"ANN1080",2992
"ANN1083",2991
"ANN1084",2991
"ANN1088",2992
"ANN1092",2993
"ANN1095",2992
"ANN1096",2994
"ANN1106",2993
"ANN1107",2993
"ANN1109",2990
"ANN1115",2990
"ANN1118",2991
"ANN1120",2990
"ANN1123",2990
"ANN1124",2991
"ANN1127",2991
"ANN1132",2990
"ANN1133",2992
"ANN1134",2991
"ANN1141",2991
"ANN1143",2989
"ANN1144",2989
"ANN1152",2992
"ANN1154",2992
"ANN1160",2992
"ANN1162",2993
"ANN1164",2994
"ANN1169",2990
"ANN1172",2989
"ANN1174",2993
"ANN1178",2992
"ANN1183",2992
"ANN1187",2993
"ANN1188",2992
"ANN1195",2991
"ANN1197",2988
"ANN1198",2991
"ANN1202",2990
"ANN1203",2991
"ANN1204",2991
"ANN1216",2994
"ANN1218",2993
"ANN1219",2992
"ANN1251",2993
"ANN1252",2990
"ANN1260",2992
"ANN1263",2989
"ANN1264",2990
"ANN1268",2994
"ANN1273",2992
"ANN1274",2991
"ANN1278",2989
"ANN1284",2990
"ANN1285",2993
"ANN1286",2990
"ANN1296",2990
"ANN1297",2992
"ANN1300",2985
"ANN1301",2991
"ANN1309",2992
"ANN1310",2991
"ANN1311",2993
"ANN1316",2992
"ANN1319",2994
"ANN1322",2991
"ANN1328",2988
"ANN1330",2991
"ARG0010",2985
"ARG0054",2991
"ARG0169",2991
"ARG0204",2990
"ARG0251",2994
"Ann1238_subset",2992
"Anzac_Pueblo",2993
"Arg01",2992
"Arg03",2993
"Arg04",2993
"Arg05",2992
"Arg06",2992
"Arg08",2993
"Ari_Man",2993
"Ari_broad",2994
"Arikara",2993
"Arikara_122976",2790
"Arikara_126306",2993
"Arikara_14042_874",2991
"Coahuila_28343",2992
"CuevadelGallo",2958
"GreenBluff",2982
"Guanajuato_29096",2992
"Havasupai",2993
"Hidatsa",2994
"Hopi_dye_NEW",2994
