"","rowSums(table_SNP_characterized)"
"ANN0808",2901
"ANN0809",2903
"ANN0810",2904
"ANN0814",2902
"ANN0815",2903
"ANN0820",2905
"ANN0828",2903
"ANN0829",2904
"ANN0830",2903
"ANN0833",2903
"ANN0835",2901
"ANN0836",2901
"ANN0847",2904
"ANN0849",2905
"ANN0850",2901
"ANN0852",2900
"ANN0854",2902
"ANN0860",2902
"ANN0863",2904
"ANN0867",2901
"ANN0868",2902
"ANN0874",2901
"ANN0876",2903
"ANN0880",2904
"ANN0882",2904
"ANN0887",2905
"ANN0889",2899
"ANN0891",2900
"ANN0892",2901
"ANN0898",2904
"ANN0905",2904
"ANN0906",2904
"ANN0908",2905
"ANN0917",2899
"ANN0918",2903
"ANN0920",2902
"ANN0926",2902
"ANN0927",2902
"ANN0928",2904
"ANN0931",2905
"ANN0932",2902
"ANN0933",2903
"ANN0945",2903
"ANN0946",2903
"ANN0947",2905
"ANN0956",2902
"ANN0957",2900
"ANN0959",2902
"ANN0962",2898
"ANN0963",2902
"ANN0964",2901
"ANN0972",2899
"ANN0975",2901
"ANN0978",2901
"ANN0981",2903
"ANN0985",2902
"ANN0986",2903
"ANN0992",2902
"ANN0996",2899
"ANN0997",2904
"ANN1002",2899
"ANN1003",2900
"ANN1004",2903
"ANN1011",2902
"ANN1012",2896
"ANN1019",2901
"ANN1025",2904
"ANN1026",2904
"ANN1029",2903
"ANN1032",2903
"ANN1034",2901
"ANN1040",2900
"ANN1043",2904
"ANN1046",2889
"ANN1050",2903
"ANN1053",2904
"ANN1058",2897
"ANN1060",2904
"ANN1061",2899
"ANN1062",2902
"ANN1065",2904
"ANN1073",2904
"ANN1074",2904
"ANN1080",2903
"ANN1083",2902
"ANN1084",2902
"ANN1088",2903
"ANN1092",2904
"ANN1095",2903
"ANN1096",2905
"ANN1106",2904
"ANN1107",2904
"ANN1109",2901
"ANN1115",2901
"ANN1118",2902
"ANN1120",2901
"ANN1123",2901
"ANN1124",2902
"ANN1127",2902
"ANN1132",2901
"ANN1133",2903
"ANN1134",2902
"ANN1141",2902
"ANN1143",2901
"ANN1144",2900
"ANN1152",2903
"ANN1154",2903
"ANN1160",2903
"ANN1162",2904
"ANN1164",2905
"ANN1169",2901
"ANN1172",2900
"ANN1174",2904
"ANN1178",2903
"ANN1183",2903
"ANN1187",2904
"ANN1188",2903
"ANN1195",2902
"ANN1197",2899
"ANN1198",2902
"ANN1202",2901
"ANN1203",2902
"ANN1204",2902
"ANN1216",2905
"ANN1218",2904
"ANN1219",2903
"ANN1251",2904
"ANN1252",2901
"ANN1260",2903
"ANN1263",2900
"ANN1264",2902
"ANN1268",2905
"ANN1273",2903
"ANN1274",2902
"ANN1278",2901
"ANN1284",2901
"ANN1285",2904
"ANN1286",2901
"ANN1296",2902
"ANN1297",2903
"ANN1300",2897
"ANN1301",2902
"ANN1309",2903
"ANN1310",2902
"ANN1311",2904
"ANN1316",2903
"ANN1319",2905
"ANN1322",2902
"ANN1328",2899
"ANN1330",2902
"ARG0010",2896
"ARG0054",2902
"ARG0169",2902
"ARG0204",2901
"ARG0251",2905
"Ann1238_subset",2903
"Anzac_Pueblo",2904
"Ari_Man",2904
"Ari_broad",2905
"Arikara",2904
"Arikara_122976",2709
"Arikara_126306",2904
"Arikara_14042_874",2902
"Coahuila_28343",2903
"CuevadelGallo",2872
"GreenBluff",2893
"Guanajuato_29096",2904
"Havasupai",2904
"Hidatsa",2905
"Hopi_dye_NEW",2905
"Hopi_mapping_NEW",2904
"Hopi_real_NEW",2904
"IA1W-1",2905
"IA1W-11R",2903
"IA1W-2",2903
"IA1W-5",2904
"IA2W-11",2902
"IA2W-17",2904
"IA2W-38",2903
"IA2W-7",2901
"KS1W-2",2903
"KS1W-27",2900
"KS1W-32",2903
"KS1W-35",2904
"KS2W-15",2902
"KS2W-24",2904
"KS2W-32",2903
"KS2W-35",2904
"Laguna_Pueblo",2904
"MB1W-16",2903
"MB1W-16B",2904
"MB1W-39",2903
"MB1W-40",2901
"MB1W-8",2904
"MO1W-3",2904
"MO1W-33",2904
"MO1W-38",2904
"Mandan1_PPN046",2904
"Mandan2",2904
"MexCult1",2904
"MexCult14",2893
"MexCult15",2892
"MexCult3",2902
"MexCult6",2902
"MexCult7",2898
"MexCult9",2901
"ND1W-31",2900
"ND1W-38",2902
"ND1W-6",2904
"Nuevo_Leon_28338",2903
"PET0316",2903
"PET0337",2904
"PET0372",2903
"PET0428",2903
"PET0461",2904
"PET0473N",2902
"PET0485",2900
"PET0550",2902
"PET0580",2903
"PET0636",2901
"PET0654",2904
"PET0669",2903
"PET0680",2900
"PET0712",2899
"PET0732",2903
"Paiute",2904
"SD1W-13",2904
"SD1W-15",2903
"SD1W-35",2905
"SD1W-4",2899
"SD2W-18",2904
"SD2W-23",2903
"SD2W-23R",2903
"SD2W-27",2904
"SF_01_Newt_Kash_16447_disk",2489
"SF_02_Alred_32_4_98a_disk",77
"SF_03_Putnam_32_44_257_disk",2898
"SF_04_Montgomery_4_32_34_59_disk",2581
"SF_05_Craddock_34_7_33_disk",2867
"SF_06_Green_Bluff_33_7_154_disk",2803
"SF_07_Edens_Bluff_32_3_27_disk",2879
"SF_09_a_Tularosa_4000-1-2151_disk",2447
"SF_09_b_Tularosa_4000-1-2151_pilot_disk",2303
"SF_10_Trinchera_Creek_disk",2494
"SF_11_a_Newt_Kash_16389_Lab_1083_disk",2895
"SF_11_b_Newt_Kash_16389_Lab_1083_pilot_disk",1079
"SF_11c_Newt_Kash_16389_lab_1083",2859
"SF_12_Putnum_32_44_132a_disk",2658
"SF_13_Alred_32_4_159a_disk",245
"SF_14_Putnum_32_44_479_disk",1058
"SF_15_Agnew_Bluff_32_1_168_disk",399
"SF_17_Newt_Kash_16447_1217_1_achene",2812
"SF_18_Newt_Kash_4000_1_10329_2_achene",234
"SF_19_Montgomery_32_34_160_disk",2903
"SF_20_Poole_2_32_42_3_disk",2159
"SF_21_Edens_Bluff_32_3_1754b_1_disk",2900
"SF_22_Edens_Bluff_32_3_247a_disk",2905
"SF_23_Edens_Bluff_32_3_247b_disk",2902
"SF_25_NM_cave_4000_1_2146_Lab_3190_disk",2849
"SF_26_Alred_32_4_103b_disk",268
"SF_27_Beaver_Pond_34_2_279_achene",131
"SF_28_Edens_Bluff_32_3_1712_disk",2793
"SF_29_Brown_Bluff_32_10_78_achene",1865
"SF_30_Edens_Bluff_32_3_247c_disk",2823
"SF_31_Cold_Oak_Fea_54_achene",448
"SF_32_Cloudsplitter_FS2318_disk",2623
"SF_33_Cloudsplitter_FS2280_achene",59
"SF_35_Cloudsplitter_unk_frg_2_disk",1468
"SF_35b_Cloudsplitter_15Mf36",2240
"SF_36_Cloudsplitter_FS2316_achene",18
"SF_36b_Cloudsplitter_FS2316",24
"SF_36c_Cloudsplitter_FS2316",44
"SF_36d_Cloudsplitter_FS2316",12
"SF_37_Cloudsplitter_Level_1_achene",162
"SF_37b_Cloudsplitter_Level_1",106
"SF_38_Cloudsplitter_FS2353_achene",316
"SF_38b_Cloudsplitter_FS2353",8
"SF_39_Mammoth_Cave_B8_L_2_Str_2_achene",283
"SF_40_Mammoth_Cave_B6_Str_2_achene",1174
"SF_41_Edens_Bluff_32_3_95a_disk",2888
"SF_42_Edens_Bluff_32_3_1701a_disk",2634
"SF_43_Edens_Bluff_32_3_1702_disk",2523
"SF_45_Edens_Bluff_32_3_1702_disk",2870
"SF_46_Edens_Bluff_32_3_1698_disk",2308
"SF_47_Edens_Bluff_32_3_1696b_disk",88
"SF_48_Edens_Bluff_32_3_1696a_disk",1351
"SF_49_Edens_Bluff_32_3_1695_disk",2807
"SF_50_Edens_Bluff_32_3_1699a_disk",2618
"SF_51_Mammoth_Cave_B11_L_2_achene",166
"SF_52_Cloudsplitter_FS2420_achene",405
"SF_53_Cloudsplitter_FS1983_achene",13
