"","rowSums(table_SNP_characterized)"
"ANN0808",2446
"ANN0809",2437
"ANN0810",2451
"ANN0814",2444
"ANN0815",2453
"ANN0820",2403
"ANN0828",2456
"ANN0829",2442
"ANN0830",2453
"ANN0833",2436
"ANN0835",2443
"ANN0836",2431
"ANN0847",2459
"ANN0849",2425
"ANN0850",2442
"ANN0852",2434
"ANN0854",2436
"ANN0860",2443
"ANN0863",2448
"ANN0867",2437
"ANN0868",2456
"ANN0874",2453
"ANN0876",2389
"ANN0880",2435
"ANN0882",2438
"ANN0887",2408
"ANN0889",2416
"ANN0891",2459
"ANN0892",2453
"ANN0898",2408
"ANN0905",2448
"ANN0906",2446
"ANN0908",2446
"ANN0917",2428
"ANN0918",2422
"ANN0920",2401
"ANN0926",2452
"ANN0927",2440
"ANN0928",2448
"ANN0931",2441
"ANN0932",2429
"ANN0933",2459
"ANN0945",2441
"ANN0946",2447
"ANN0947",2437
"ANN0956",2428
"ANN0957",2436
"ANN0959",2456
"ANN0962",2454
"ANN0963",2434
"ANN0964",2435
"ANN0972",2427
"ANN0975",2447
"ANN0978",2449
"ANN0981",2453
"ANN0985",2440
"ANN0986",2440
"ANN0992",2425
"ANN0996",2460
"ANN0997",2453
"ANN1002",2407
"ANN1003",2443
"ANN1004",2441
"ANN1011",2412
"ANN1012",2437
"ANN1019",2456
"ANN1025",2446
"ANN1026",2454
"ANN1029",2448
"ANN1032",2436
"ANN1034",2414
"ANN1040",2448
"ANN1043",2417
"ANN1050",2441
"ANN1053",2427
"ANN1058",2452
"ANN1060",2459
"ANN1061",2451
"ANN1062",2416
"ANN1065",2426
"ANN1073",2437
"ANN1074",2438
"ANN1080",2401
"ANN1083",2436
"ANN1084",2459
"ANN1088",2437
"ANN1092",2434
"ANN1095",2426
"ANN1096",2413
"ANN1106",2436
"ANN1107",2414
"ANN1109",2444
"ANN1115",2450
"ANN1118",2406
"ANN1120",2427
"ANN1123",2445
"ANN1124",2423
"ANN1127",2442
"ANN1132",2419
"ANN1133",2446
"ANN1134",2443
"ANN1141",2425
"ANN1143",2440
"ANN1144",2419
"ANN1152",2426
"ANN1154",2435
"ANN1160",2423
"ANN1162",2437
"ANN1164",2389
"ANN1169",2452
"ANN1172",2424
"ANN1174",2439
"ANN1178",2441
"ANN1183",2430
"ANN1187",2443
"ANN1188",2444
"ANN1195",2451
"ANN1197",2449
"ANN1198",2453
"ANN1202",2386
"ANN1203",2444
"ANN1204",2448
"ANN1216",2413
"ANN1218",2432
"ANN1219",2438
"ANN1251",2423
"ANN1252",2425
"ANN1260",2443
"ANN1263",2416
"ANN1264",2449
"ANN1268",2432
"ANN1273",2465
"ANN1274",2451
"ANN1278",2415
"ANN1284",2459
"ANN1285",2453
"ANN1286",2424
"ANN1296",2416
"ANN1297",2427
"ANN1300",2424
"ANN1301",2445
"ANN1309",2408
"ANN1310",2421
"ANN1311",2445
"ANN1316",2432
"ANN1319",2427
"ANN1322",2408
"ANN1328",2440
"ANN1330",2454
"ARG0010",2386
"ARG0054",2455
"ARG0169",2438
"ARG0204",2432
"ARG0251",2455
"Ann1238_subset",2303
"Anzac_Pueblo",2415
"Arg01",2399
"Arg03",2379
"Arg04",2383
"Arg05",2406
"Arg06",2402
"Arg08",2405
"Ari_Man",2444
"Ari_broad",2452
"Arikara",2440
"Arikara_122976",2425
"Arikara_126306",2419
"Arikara_14042_874",2440
"Coahuila_28343",2425
"CuevadelGallo",2190
"GreenBluff",2442
"Guanajuato_29096",2287
"Havasupai",2425
"Hidatsa",2416
"Hopi_dye_NEW",2416
"Hopi_mapping_NEW",2421
"Hopi_real_NEW",2404
"IA1W_1",2397
"IA1W_11R",2436
"IA1W_2",2393
"IA1W_5",2430
"IA2W_11",2419
"IA2W_17",2419
"IA2W_38",2424
"IA2W_7",2407
"KS1W_2",2423
"KS1W_27",2442
"KS1W_32",2408
"KS1W_35",2431
"KS2W_15",2402
"KS2W_24",2409
"KS2W_32",2440
"KS2W_35",2411
"Laguna_Pueblo",2409
"MB1W_16",2447
"MB1W_16B",2404
"MB1W_39",2408
"MB1W_40",2438
"MB1W_8",2420
"MO1W_3",2405
"MO1W_33",2443
"MO1W_38",2434
"Mandan1_PPN046",2402
"Mandan2",2399
"MexCult1",2436
"MexCult15",2434
"MexCult3",2429
"MexCult6",2412
"MexCult9",2390
"ND1W_31",2391
"ND1W_38",2384
"Nuevo_Leon_28338",2425
"PET0316",2425
"PET0337",2432
"PET0372",2419
"PET0428",2432
"PET0461",2414
"PET0473N",2428
"PET0485",2442
