sampleName,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop,PopBasic,PopReduced,PopReducedReduced
ann04_nwAR,-0.0031685,0.00446874,0.01452582,0.00798402,-0.0128629,-0.019001,-0.0027757,AR,Wild,AR_IL_NB,ENA
ann10_ccIL,-0.0070622,0.00402618,0.01155807,0.01101396,-0.0155247,-0.0160181,1.48E-06,IL,Wild,AR_IL_NB,ENA
Ann1238,0.03646419,0.02174082,0.01688569,-0.0039454,0.0088096,0.04085782,0.0345036,NB,Wild,AR_IL_NB,ENA
ann39_ncNE,-0.0016617,0.00404438,0.00066452,-0.0078339,0.00985656,-0.0079853,-0.0036805,NB,Wild,AR_IL_NB,ENA
ARG0054,0.0548196,-0.1809213,-0.0587917,0.4423883,0.3076872,-0.0096898,-0.016795,argophyllus,argophyllus,argophyllus,argophyllus
ARG0169,0.05473797,-0.1801569,-0.0569665,0.42756839,0.29801636,-0.0075146,-0.0159383,argophyllus,argophyllus,argophyllus,argophyllus
ARG0204,0.05746247,-0.1836714,-0.0601361,0.44958906,0.31211267,-0.0074272,-0.017455,argophyllus,argophyllus,argophyllus,argophyllus
ANN0810,0.0337288,0.0011701,-0.1842213,-0.0600619,0.03492954,-0.1154543,0.03557954,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0820,0.03942654,0.0111818,-0.2317437,-0.075018,0.04020777,-0.1468675,0.03534621,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0830,0.03942429,0.01139529,-0.2229746,-0.0702678,0.03712517,-0.1356025,0.03187176,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0835,0.04360166,0.01618234,-0.2245023,-0.0758038,0.04668602,-0.1264315,0.03732727,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0849,0.04166759,0.01209509,-0.2206839,-0.069972,0.0346394,-0.1293028,0.03094933,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0854,0.04555968,0.01518869,-0.2360324,-0.0762264,0.04342318,-0.1441514,0.04539776,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0867,0.0442101,0.02754422,-0.1492801,-0.0971473,0.10634923,-0.0699383,0.06481035,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0874,0.04128152,0.02736487,-0.1389133,-0.0925006,0.10047842,-0.0656682,0.04875612,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0880,0.03875073,0.02795379,-0.1321382,-0.0886035,0.09942551,-0.0620823,0.05668363,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0882,0.0376095,0.01217134,-0.1502495,-0.066276,0.06749885,-0.0682989,0.06281846,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0898,0.03800533,0.01321795,-0.1400852,-0.0629238,0.06121916,-0.0730306,0.054407,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN0908,0.02646003,0.00989251,-0.1169015,-0.0119745,-0.0156713,-0.0032125,-0.028298,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ANN0918,0.03723747,0.00623668,-0.1223818,-0.0040786,-0.0276869,0.00455607,-0.0130188,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ANN0927,0.0381044,0.00386526,-0.1458872,-0.0093898,-0.0258973,-0.0368774,-0.0234877,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ANN0931,0.03103165,0.013112,-0.069214,-0.0067809,-0.0227656,0.03876771,-0.0639241,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ANN0946,0.03646948,0.00207566,-0.0694754,0.00455354,-0.0361777,0.02827721,-0.0177575,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ANN1029,0.0440195,0.01942684,-0.1227082,-0.0590715,0.06051954,0.00532412,0.02630281,NV,Wild,CA_AZ_NV,CA_AZ_NV
ANN1040,0.03720763,0.02720603,-0.1189946,-0.0821425,0.08542297,-0.0482821,0.0385878,NV,Wild,CA_AZ_NV,CA_AZ_NV
ANN1046,0.05403694,-0.1168411,-0.0521201,-0.0535046,-0.0274913,-0.0066242,-0.0119883,NV,Wild,CA_AZ_NV,CA_AZ_NV
ANN1260,0.03573532,0.01269732,-0.2152146,-0.0662675,0.03602105,-0.1325575,0.03897878,CA,Wild,CA_AZ_NV,CA_AZ_NV
ANN1268,0.03700036,0.00567702,-0.1443307,-0.0056069,-0.0335018,-0.0344225,-0.035008,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ANN1273,0.03947413,0.00297399,-0.1465565,-0.0033727,-0.0399042,-0.0264494,-0.0328499,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ANN1284,0.03708147,0.0045223,-0.1451261,-0.0059076,-0.0333623,-0.0356961,-0.0319333,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ann20_seAZ,-0.0002501,0.00084844,-0.0103362,0.00011497,-0.0038075,0.00104401,-0.0045437,AZ,Wild,CA_AZ_NV,CA_AZ_NV
ann44_ccCA,-0.0391282,-0.0017532,-0.0837609,-0.0244448,0.00979787,-0.051845,0.01458372,CA,Wild,CA_AZ_NV,CA_AZ_NV
ann05_ccNM,0.01112032,0.0050481,-0.00658,0.00601153,-0.0146978,0.02163279,-0.0024734,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0956,0.03817349,0.01390933,-0.0466968,0.01396506,-0.0462131,0.1035042,-0.079997,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0957,0.03298419,0.01639611,-0.045951,0.00986506,-0.0332782,0.09876467,-0.0884665,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0959,0.04075152,0.01257328,-0.0509131,0.01489091,-0.0454749,0.11045054,-0.0733004,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0962,0.03734062,0.01391951,-0.0580711,0.01600616,-0.0512519,0.15428968,-0.1368373,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0963,0.03230169,0.0161868,-0.0479408,0.01302258,-0.044291,0.13816379,-0.1336094,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0964,0.03642024,0.01274334,-0.0576511,0.01461573,-0.0482273,0.13717959,-0.1157169,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0972,0.03553634,0.01388672,-0.0146026,0.01674069,-0.0310777,0.05384196,0.00312733,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0975,0.0361785,0.01370454,-0.0178534,0.01732251,-0.032776,0.05237056,0.00498801,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0978,0.03144779,0.0153226,-0.0173632,0.01240255,-0.024382,0.05042479,0.00598334,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0981,0.04017513,0.01753231,-0.0125578,0.00089413,-0.0089644,0.06162567,-0.003002,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0985,0.03956557,0.02095557,-0.0021533,0.00344357,-0.014135,0.06130246,-0.0189234,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0986,0.04151065,0.01717755,-0.0105555,0.00246971,-0.0076717,0.06016882,-0.0044962,NM,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0992,0.03552097,0.01914257,-0.0099738,0.00516321,-0.017648,0.13265184,-0.0418431,CO,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0996,0.03648669,0.01994121,-0.0112514,0.00650004,-0.0210482,0.13750939,-0.0281518,CO,Wild,CO_UT_NM,CO_UT_NM_TX
ANN0997,0.03611164,0.01786593,-0.0111138,0.00758867,-0.022477,0.12884155,-0.0267756,CO,Wild,CO_UT_NM,CO_UT_NM_TX
