HomePop	testAdmixSample	AdmixSource	Test_Control	Dstatistic	Z_score	Abs_Z_score	p	f4	BBAA	ABBA	BABA	STD_err	Color	Shape
ND	ND1W_6	Cultivar	t	0.211793	9.09501	9.09501	2.30E-16	0.407606	17177.9	27558.4	17925.3	0.023286725	blue	circle
ND	ND1W_25	Cultivar	c	0.0187093	3.36597	3.36597	0.000762741	0.0339754	14517	12944	12468.6	0.005558368	blue	triangle
ND	ND1W_20	Cultivar	c	0.017192	3.56992	3.56992	0.000357084	0.0326682	16488.3	17339.9	16753.8	0.004815794	blue	triangle
ND	ND1W_36	Cultivar	c	0.0123201	3.62997	3.62997	0.00028346	0.0228449	12895.9	11589.9	11307.8	0.003393995	blue	triangle
SD	SD2W_38	Cultivar	t	0.184671	9.23714	9.23714	2.30E-16	0.35345	13430.4	19308	13288.4	0.019992227	blue	circle
SD	SD1W_15	Cultivar	t	0.12797	6.56531	6.56531	5.19E-11	0.240344	18717.7	23416.2	18103	0.019491844	blue	circle
SD	SD2W_21	Cultivar	c	-0.00204929	-0.206178	0.206178	0.836652	0.0038552	17493.9	17652	17579.8	0.009939421	red	triangle
WY	ann06_seWY	Cultivar	t	0.232153	8.68674	8.68674	2.30E-16	0.47088	2714.46	4264.75	2657.69	0.026724985	blue	circle
WY	ANN1154	Cultivar	c	-0.026332	-2.43062	2.43062	0.0150731	0.0412298	27304.7	20385.7	19339.6	0.01083345	red	triangle
CA	ann44_ccCA	Cultivar	t	0.234569	10.4391	10.4391	2.30E-16	0.395798	16868.9	22977.4	14246	0.022470232	blue	circle
CA	ANN0867	Cultivar	c	-3.61E-05	-0.00720404	0.00720404	0.994252	5.68E-05	27127.6	21098	21096.4	5.01E-03	red	triangle
AZ	ann20_seAZ	Cultivar	t	0.103595	17.4255	17.4255	2.30E-16	0.184665	5049.33	5826.42	4732.56	0.005945023	blue	circle
AZ	ANN1268	Cultivar	c	-0.00400002	-0.833752	0.833752	0.404421	0.00629339	25253.2	21222.8	21053.7	0.004797614	red	triangle
AZ	annMex_A1516	Cultivar	t	0.132164	8.84913	8.84913	2.30E-16	0.224013	8769.2	10492.7	8042.96	0.014935254	blue	circle
AZ	annMex_A1517	Cultivar	t	0.189282	9.37947	9.37947	2.30E-16	0.317524	11001.2	14754.6	10058.1	0.020180458	blue	circle
AZ	annMex_A1517	Cultivar	t	0.189282	9.37947	9.37947	2.30E-16	0.317524	11001.2	14754.6	10058.1	0.020180458	blue	circle
AZ	annMex_A1572	Cultivar	t	0.0603032	9.6676	9.6676	2.30E-16	0.0984179	11139.6	10760.4	9536.4	0.00623766	blue	circle
AZ	annMex_Ann261	Cultivar	t	0.122452	10.4491	10.4491	2.30E-16	0.2036	9635.05	10957.7	8566.85	0.011718904	blue	circle
AZ	annMex_A1574	Cultivar	t	0.321422	18.4799	18.4799	2.30E-16	0.555316	8467.97	15187.3	7798.99	0.017393059	blue	circle
CA	annMex_A1516	Cultivar	t	0.125727	8.29339	8.29339	2.30E-16	0.212037	9273.18	10229.5	7944.55	0.015159904	blue	circle
CA	annMex_A1517	Cultivar	t	0.184664	8.76791	8.76791	2.30E-16	0.312594	11104.9	14686.1	10107.6	0.021061348	blue	circle
CA	annMex_A1517	Cultivar	t	0.184664	8.76791	8.76791	2.30E-16	0.312594	11104.9	14686.1	10107.6	0.021061348	blue	circle
CA	annMex_A1572	Cultivar	t	0.0520457	9.24045	9.24045	2.30E-16	0.0881087	10637.8	10964.9	9880.05	0.005632377	blue	circle
CA	annMex_Ann261	Cultivar	t	0.117093	10.0535	10.0535	2.30E-16	0.198442	9364.39	11067.7	8747.45	0.011646989	blue	circle
CA	annMex_A1574	Cultivar	t	0.313092	17.0707	17.0707	2.30E-16	0.551652	8289.38	15215.7	7959.67	0.0183409	blue	circle
