sample_intraspecific,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc,Pop_geoLoc2
ann01_cwIA,-0.06047822,-0.000259221,0.018363006,-0.009617789,-0.012567108,0.004379916,-0.009518539,Wild,IA,IA
ann04_nwAR,-0.070024119,-0.0178852,0.038346333,-0.001296727,-0.007228369,0.009614397,-0.01130693,Wild,AR,AR
ann05_ccNM,-0.021802248,-0.032644937,0.012548746,0.049034922,0.009741443,-0.010651551,0.027465772,Wild,NM,CO_UT_NM
ANN0810,0.074187777,-0.151661083,-0.080892971,-0.155595789,0.013768317,0.03322997,-0.057083737,Wild,CA,CA_NV_AZ
ANN0820,0.063902096,-0.168409365,-0.088119857,-0.167726212,0.014950971,0.014807393,-0.021960102,Wild,CA,CA_NV_AZ
ANN0830,0.082561091,-0.178347348,-0.091273669,-0.176401127,0.011997315,0.026866011,-0.039035235,Wild,CA,CA_NV_AZ
ANN0835,0.069144597,-0.161529363,-0.093232643,-0.15630612,0.018360901,0.019267573,-0.027847285,Wild,CA,CA_NV_AZ
ANN0849,0.081501143,-0.17657618,-0.093973959,-0.168173429,0.008659535,0.022624814,-0.027686196,Wild,CA,CA_NV_AZ
ANN0854,0.080147172,-0.171597338,-0.095819465,-0.17705291,0.012376669,0.029954312,-0.037027985,Wild,CA,CA_NV_AZ
ANN0867,0.069191437,-0.086487169,-0.12506882,-0.103617342,0.043032809,0.036217543,-0.078480738,Wild,CA,CA_NV_AZ
ANN0874,0.058528399,-0.085736488,-0.120498538,-0.101023309,0.041756615,0.034553912,-0.068277712,Wild,CA,CA_NV_AZ
ANN0880,0.050994219,-0.079519791,-0.11694558,-0.096731985,0.043575182,0.032238351,-0.062732157,Wild,CA,CA_NV_AZ
ANN0882,0.054406012,-0.11251268,-0.096777284,-0.114245332,0.045723738,0.018986079,-0.059041679,Wild,CA,CA_NV_AZ
ANN0898,0.05202076,-0.108145166,-0.094584325,-0.121066282,0.042777683,0.022061447,-0.057399838,Wild,CA,CA_NV_AZ
ANN0908,0.065350645,-0.118139417,-0.020811828,-0.015076308,-0.030780518,0.012597189,0.035429938,Wild,AZ,CA_NV_AZ
