"Name","Wild","Ethnographic_wild","Ethnographic","Landrace","Archaeological","Cueva","GreenBluff","USDA_mex","Lentz_mex","Mex_cult","argophyllus","petiolaris_petiolaris","petiolaris_fallax","niveus_canescens"
"ANN0808",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0809",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0810",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0814",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0815",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0820",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0828",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0829",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0830",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0833",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0835",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0836",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0847",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0849",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0850",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0852",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0854",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0860",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0863",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0867",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0868",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0874",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0876",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0880",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0882",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0887",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0889",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0891",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0892",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0898",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0905",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0906",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0908",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0917",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0918",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0920",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0926",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0927",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0928",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0931",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0932",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0933",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0945",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0946",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0947",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0956",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0957",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0959",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0962",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0963",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0964",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0972",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0975",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0978",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0981",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0985",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0986",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0992",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0996",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN0997",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1002",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1003",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1004",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1011",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1012",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1019",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1025",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1026",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1029",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1032",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1034",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1040",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1043",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1046",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1053",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1058",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1060",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1061",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1062",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1065",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1073",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1074",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1080",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1083",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1084",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1088",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1092",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1095",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1096",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1106",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1107",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1109",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1115",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1118",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1120",1,0,0,0,0,0,0,0,0,0,0,0,0,0
