SampleName,Latitude,Longitude,Pop
MexCult15,16.9601,-95.84218,Extant Traditional Variety H. annuus
MexCult6,17.92372,-99.51938,Extant Traditional Variety H. annuus
MexCult9,17.92528,-99.52958,Extant Traditional Variety H. annuus
MexCult3,17.92778,-99.52629,Extant Traditional Variety H. annuus
MexCult1,26.84509,-106.93494,Extant Traditional Variety H. annuus
ARG0169,27.61823,-97.21178,Wild H. argophyllus
ANN1407,27.77652,-97.66801,Wild H. annuus ssp. texanus
ARG0204,28.12154,-97.39245,Wild H. argophyllus
ANN1341,28.66061,-96.58348,Wild H. annuus ssp. texanus
ANN1331,29.11355,-97.39837,Wild H. annuus ssp. texanus
ARG0054,29.27191,-97.66967,Wild H. argophyllus
ANN1322,31.03955,-103.13683,Wild H. annuus
ANN1311,31.13312,-104.02012,Wild H. annuus
PET0732,31.15031,-105.68665,Wild H. niveus ssp. canescens
PET0636,31.38092,-110.06893,Wild H. petiolaris ssp. fallax
ANN1284,31.43996,-110.10544,Wild H. annuus
ANN1273,31.5081,-111.01274,Wild H. annuus
ANN1301,32.12876,-106.67373,Wild H. annuus
ANN1300,32.17943,-108.38541,Wild H. annuus
PET0654,32.19631,-107.68668,Wild H. niveus ssp. canescens
PET0712,32.26828,-106.95863,Wild H. niveus ssp. canescens
ANN1268,32.73158,-111.53769,Wild H. annuus
ANN1216,32.92224,-97.36547,Wild H. annuus
ann05_ccNM,33.51138,-105.46444,Wild H. annuus
ANN0849,33.69278,-116.18411,Wild H. annuus
ANN1260,33.92321,-116.86432,Wild H. annuus
ANN0854,34.24976,-117.45148,Wild H. annuus
ANN0927,34.75056,-112.01697,Wild H. annuus
ANN0835,34.75087,-119.07235,Wild H. annuus
PET0316,34.91703,-111.90977,Wild H. petiolaris ssp. fallax
Zuni,35.000818,-108.69664,Extant Traditional Variety H. annuus
Laguna_Pueblo,35.014048,-107.05256,Extant Traditional Variety H. annuus
ANN0946,35.03852,-110.7351,Wild H. annuus
Anzac_Pueblo,35.059886,-107.73405,Extant Traditional Variety H. annuus
ANN0908,35.19566,-114.06666,Wild H. annuus
ANN0962,35.24503,-107.68594,Wild H. annuus
ANN0918,35.2533,-112.13355,Wild H. annuus
ANN0956,35.40041,-108.23557,Wild H. annuus
Pueblo,35.7686,-106.6923,Extant Traditional Variety H. annuus
SIP,35.892,-106.1184,Ethnographic Traditional Variety H. annuus
ANN0978,36.07308,-104.28873,Wild H. annuus
ANN0931,36.1086,-111.24184,Wild H. annuus
ANN0830,36.24542,-120.31654,Wild H. annuus
Havasupai,36.263106,-112.87592,Extant Traditional Variety H. annuus
Hopi_real_NEW,36.396079,-110.58507,Extant Traditional Variety H. annuus
ann04_nwAR,36.40111,-93.73777,Wild H. annuus
Paiute,36.582323,-114.74707,Extant Traditional Variety H. annuus
ANN0820,36.59499,-120.75822,Wild H. annuus
ANN0986,36.7268,-104.01913,Wild H. annuus
NIV1487,36.730269,-111.450798,Wild H. niveus ssp. canescens
ANN1210,36.80874,-98.22242,Wild H. annuus
PET0580,36.9134,-99.23544,Wild H. petiolaris ssp. petiolaris
NIV1468,36.976911,-110.263218,Wild H. niveus ssp. canescens
ANN1062,37.13137,-112.56561,Wild H. annuus
ANN1053,37.13733,-113.51348,Wild H. annuus
ANN0898,37.17346,-118.27904,Wild H. annuus
ANN1200,37.23327,-98.66459,Wild H. annuus
PET0532,37.37939,-97.8877,Wild H. petiolaris ssp. petiolaris
ANN0882,37.43321,-118.40646,Wild H. annuus
ANN1190,37.45911,-97.9179,Wild H. annuus
PET0372,37.52901,-105.297,Wild H. petiolaris ssp. fallax
ANN1073,38.21652,-112.64767,Wild H. annuus
ANN1180,38.44118,-98.63231,Wild H. annuus
ann34_cwKS,38.4825,-100.90666,Wild H. annuus
ANN0810,38.56535,-121.63765,Wild H. annuus
ANN0874,38.67722,-119.73895,Wild H. annuus
ANN0867,38.7892,-119.9363,Wild H. annuus
