"","x"
"1",31
"2",31
"3",31
"4",31
"5",31
"6",31
"7",31
"8",31
"9",31
"10",31
"11",31
"12",30
"13",30
"14",30
"15",30
"16",30
"17",25
"18",25
"19",25
"20",25
"21",25
"22",25
"23",25
"24",25
"25",25
"26",25
"27",25
"28",25
"29",29
"30",29
"31",29
"32",29
"33",29
"34",29
"35",29
"36",29
"37",29
"38",26
"39",26
"40",26
"41",28
"42",28
"43",28
"44",28
"45",28
"46",28
"47",28
"48",28
"49",28
"50",28
"51",17
"52",17
"53",17
"54",17
"55",17
"56",17
"57",17
"58",17
"59",17
"60",29
"61",29
"62",29
"63",10
"64",10
"65",10
"66",10
"67",10
"68",10
"69",10
"70",10
"71",10
"72",10
"73",10
"74",10
"75",10
"76",10
"77",10
"78",10
"79",10
"80",10
"81",10
"82",10
"83",10
"84",10
"85",10
"86",10
"87",10
"88",10
"89",10
"90",10
"91",10
"92",10
"93",15
"94",15
"95",15
"96",15
"97",15
"98",15
"99",15
"100",15
"101",15
"102",15
"103",27
"104",27
"105",27
"106",31
"107",30
"108",30
"109",30
"110",25
"111",25
"112",25
"113",25
"114",25
"115",25
"116",27
"117",27
"118",27
"119",27
"120",27
"121",27
"122",9
"123",9
"124",10
"125",20
"126",21
"127",21
"128",21
"129",11
"130",2
"131",1
"132",1
"133",2
"134",1
"135",1
"136",1
"137",2
"138",2
"139",2
"140",2
"141",2
"142",9
"143",9
"144",9
"145",9
"146",9
"147",9
"148",9
"149",9
"150",9
"151",9
"152",9
"153",9
"154",9
"155",9
"156",9
"157",9
"158",9
"159",9
"160",9
"161",9
"162",9
"163",9
"164",10
"165",10
"166",10
"167",10
"168",10
"169",10
"170",10
"171",10
"172",10
"173",10
"174",10
"175",10
"176",10
"177",10
"178",10
"179",10
"180",10
"181",10
"182",10
"183",10
"184",10
"185",10
"186",10
"187",2
"188",19
"189",19
"190",19
"191",19
"192",19
"193",19
"194",19
"195",19
"196",19
"197",19
"198",14
"199",14
"200",14
"201",14
"202",14
"203",14
"204",14
"205",14
"206",14
"207",14
"208",2
"209",2
"210",7
"211",7
"212",7
"213",7
"214",7
"215",8
"216",8
"217",8
"218",12
"219",12
"220",12
"221",12
"222",12
"223",12
"224",12
"225",12
"226",12
"227",22
"228",22
"229",23
"230",23
"231",24
"232",24
"233",24
"234",23
"235",22
"236",22
"237",22
"238",1
"239",13
"240",13
"241",13
"242",13
"243",13
"244",13
"245",13
"246",13
"247",13
"248",13
"249",13
"250",13
"251",13
"252",13
"253",13
"254",13
"255",13
"256",13
"257",13
"258",13
"259",20
"260",20
"261",20
"262",20
"263",20
"264",20
"265",20
"266",20
"267",20
"268",20
"269",20
"270",5
"271",1
"272",1
"273",1
"274",2
"275",1
"276",2
"277",9
"278",16
"279",25
"280",18
"281",30
"282",20
"283",13
"284",10
"285",11
"286",3
"287",3
"288",3
"289",3
"290",3
"291",3
"292",3
"293",3
"294",3
"295",3
"296",3
"297",3
"298",6
"299",4
"300",4
"301",4
"302",4
"303",4
"304",4
"305",4
"306",4
"307",4
"308",4
"309",4
"310",4
